Model;Noise (%);Accuracy;Precision;Recall;F1-Score;Specificity;AUC-ROC;MCC
ResNet50;0,0;0,8598;0,7755;0,5509;0,6441;0,9523;0,9075;0,5727
ResNet50;15,0;0,8364;0,7294;0,4605;0,5646;0,9489;0,8718;0,489
ResNet50;30,0;0,8304;0,6938;0,4719;0,5617;0,9377;0,8605;0,4745
ResNet50;45,0;0,8224;0,6424;0,5159;0,5722;0,9141;0,8451;0,4662
ResNet50;60,0;0,793;0,5474;0,5826;0,5644;0,8559;0,8246;0,4292
ResNet50;90,0;0,6794;0,3939;0,7282;0,5113;0,6648;0,7428;0,3347
EfficientNet-B0;0,0;0,8722;0,7794;0,6208;0,6911;0,9474;0,9303;0,6182
EfficientNet-B0;15,0;0,8359;0,7592;0,4207;0,5414;0,9601;0,8846;0,4804
EfficientNet-B0;30,0;0,8278;0,7618;0,367;0,4953;0,9657;0,8766;0,446
EfficientNet-B0;45,0;0,8256;0,7403;0,3735;0,4965;0,9608;0,8654;0,4392
EfficientNet-B0;60,0;0,8295;0,7096;0,4394;0,5427;0,9462;0,855;0,4643
EfficientNet-B0;90,0;0,8134;0,608;0,5338;0,5685;0,897;0,8289;0,4516
SE-ResNet50;0,0;0,8559;0,6837;0,6965;0,69;0,9036;0,9135;0,5962
SE-ResNet50;15,0;0,8147;0,5788;0,7168;0,6405;0,844;0,872;0,5229
SE-ResNet50;30,0;0,8272;0,6313;0,6005;0,6155;0,8951;0,8677;0,5045
SE-ResNet50;45,0;0,8276;0,6604;0,5175;0,5803;0,9204;0,8546;0,4794
SE-ResNet50;60,0;0,8246;0,6726;0,4646;0,5496;0,9323;0,8425;0,4569
SE-ResNet50;90,0;0,8153;0,6494;0,4296;0,5171;0,9306;0,8177;0,4221
Ablation Model (No CeNN);0,0;0,7871;0,526;0,7648;0,6233;0,7938;0,8636;0,4984
Ablation Model (No CeNN);15,0;0,7637;0,4917;0,7705;0,6003;0,7617;0,8427;0,4666
Ablation Model (No CeNN);30,0;0,7755;0,509;0,7152;0,5947;0,7936;0,8391;0,4579
Ablation Model (No CeNN);45,0;0,7776;0,5123;0,7128;0,5961;0,797;0,8338;0,4599
Ablation Model (No CeNN);60,0;0,7246;0,445;0,7933;0,5702;0,704;0,8181;0,4256
Ablation Model (No CeNN);90,0;0,3062;0,2485;0,9943;0,3976;0,1003;0,7792;0,1481
Proposed Hybrid CeNN;0,0;0,795;0,5408;0,7282;0,6207;0,815;0,8618;0,4945
Proposed Hybrid CeNN;15,0;0,7677;0,4971;0,7722;0,6048;0,7663;0,8493;0,473
Proposed Hybrid CeNN;30,0;0,7701;0,5005;0,7502;0,6005;0,776;0,8418;0,466
Proposed Hybrid CeNN;45,0;0,7665;0,4954;0,7429;0,5944;0,7736;0,8326;0,4573
Proposed Hybrid CeNN;60,0;0,7604;0,4865;0,7331;0,5849;0,7685;0,8269;0,4437
Proposed Hybrid CeNN;90,0;0,7343;0,4541;0,76;0,5685;0,7266;0,8143;0,4209
